alpha,beta,gamma,n_a,n_ok,n_capped,n_timeout,timeout_frac,timeout_warning,mean_fitness,std_fitness,mean_mei,std_mei,mean_ncf,std_ncf,mean_dissipation,std_dissipation,pareto_front
0.3,0.5,0.0,1000.0,100,0,0,0.0,False,0.19478338,0.20808517,0.16513813,0.25611736,0.08425643,0.13100587,3.57678887,3.17419646,False
0.3,0.5,0.1,200.0,100,0,0,0.0,False,0.23137534,0.24465401,0.17969426,0.2726929,0.10141975,0.17767852,4.02141303,3.86903393,False
0.3,0.5,0.1,350.0,100,0,0,0.0,False,0.2074715,0.21116756,0.17928823,0.26003108,0.10818479,0.17774756,3.92367716,3.22517837,False
0.3,0.5,0.1,500.0,100,0,0,0.0,False,0.20126755,0.20584034,0.18055347,0.25992165,0.11095577,0.17779793,3.93866742,3.23160727,False
0.3,0.5,0.1,750.0,100,0,0,0.0,False,0.20106287,0.2055174,0.1809478,0.2600302,0.11056143,0.17786294,3.9406541,3.23280067,False
0.3,0.5,0.1,1000.0,100,0,0,0.0,False,0.20126755,0.20584034,0.18055347,0.25992165,0.11095577,0.17779793,3.93866742,3.23160727,False
0.3,0.5,0.2,200.0,100,0,0,0.0,False,0.23940652,0.25104122,0.1730483,0.25183802,0.08712942,0.15001266,3.77248666,3.08481339,True
0.3,0.5,0.2,350.0,100,0,0,0.0,False,0.20220063,0.20207439,0.18331989,0.25188341,0.09701417,0.15251016,3.90966756,3.16883301,False
0.3,0.5,0.2,500.0,100,0,0,0.0,False,0.20220063,0.20207439,0.18331989,0.25188341,0.09701417,0.15251016,3.90966756,3.16883301,False
0.3,0.5,0.2,750.0,100,0,0,0.0,False,0.20220063,0.20207439,0.18331989,0.25188341,0.09701417,0.15251016,3.90966756,3.16883301,False
0.3,0.5,0.2,1000.0,100,0,0,0.0,False,0.20220063,0.20207439,0.18331989,0.25188341,0.09701417,0.15251016,3.90966756,3.16883301,False
0.3,0.6,-0.2,200.0,100,7,0,0.0,False,0.47411704,0.42045921,0.13312287,0.24374362,0.01859345,0.10104885,5.809516,4.81555293,False
0.3,0.6,-0.2,350.0,100,1,0,0.0,False,0.36383161,0.32132913,0.13897635,0.22717566,0.02884522,0.10325644,5.58435638,4.43576848,False
0.3,0.6,-0.2,500.0,100,0,0,0.0,False,0.31826284,0.27927277,0.12746014,0.21896191,0.03998813,0.10424344,5.05623855,3.85873522,True
0.3,0.6,-0.2,750.0,100,0,0,0.0,False,0.26179489,0.22668305,0.12310951,0.21556296,0.05694436,0.10644432,4.77636746,3.48192171,True
0.3,0.6,-0.2,1000.0,100,0,0,0.0,False,0.22620194,0.20581591,0.1303186,0.21653726,0.06981329,0.10903354,4.87084508,3.51519813,False
0.3,0.6,-0.1,200.0,100,4,0,0.0,False,0.49480557,0.42280629,0.14306619,0.18438585,0.01112063,0.02780849,6.45477142,5.38882029,False
0.3,0.6,-0.1,350.0,100,0,0,0.0,False,0.39178027,0.33638778,0.12871217,0.1244501,0.02206451,0.03557086,5.76257542,4.41995908,False
0.3,0.6,-0.1,500.0,100,0,0,0.0,False,0.34125659,0.28734113,0.11653252,0.10468655,0.0351792,0.04248367,5.22256188,3.80492604,False
0.3,0.6,-0.1,750.0,100,0,0,0.0,False,0.28163608,0.23492429,0.11228504,0.09284616,0.05242912,0.05030618,4.92215025,3.28994777,True
0.3,0.6,-0.1,1000.0,100,0,0,0.0,False,0.24629435,0.21788153,0.11932315,0.09516478,0.06414575,0.05526499,5.01778676,3.32706265,False
0.3,0.6,0.0,200.0,100,6,0,0.0,False,0.57758379,0.4605608,0.12617795,0.14903754,0.02198269,0.10447632,6.1402506,4.33271193,False
0.3,0.6,0.0,350.0,100,0,0,0.0,False,0.39085876,0.30561587,0.14624585,0.14077707,0.03649945,0.10570684,6.11772355,4.34445767,False
0.3,0.6,0.0,500.0,100,0,0,0.0,False,0.35448931,0.26276527,0.12483714,0.11444121,0.04809273,0.10585499,5.36206705,3.45588809,False
0.3,0.6,0.0,750.0,100,0,0,0.0,False,0.28244032,0.20910762,0.12459837,0.11003387,0.06926777,0.10752691,5.14982328,3.09985096,True
0.3,0.6,0.0,1000.0,100,0,0,0.0,False,0.25041312,0.1931093,0.13280037,0.11283239,0.0803562,0.10902754,5.2827387,3.17875119,False
0.3,0.6,0.1,200.0,100,3,0,0.0,False,0.47089621,0.41431605,0.16529479,0.19829601,0.01912298,0.10142607,6.77405852,5.32939316,False
0.3,0.6,0.1,350.0,100,2,0,0.0,False,0.41568695,0.34670329,0.12223054,0.14136425,0.03124304,0.10237316,5.45437743,4.03384414,False
0.3,0.6,0.1,500.0,100,0,0,0.0,False,0.32929679,0.27422815,0.12146373,0.13175119,0.04633992,0.10456904,5.17247601,3.65036662,True
0.3,0.6,0.1,750.0,100,0,0,0.0,False,0.27096116,0.22559164,0.12127463,0.1275109,0.06341839,0.10608817,4.96074183,3.23751085,False
0.3,0.6,0.1,1000.0,100,0,0,0.0,False,0.23750336,0.20348127,0.12836479,0.12856793,0.07376556,0.10754034,5.07824975,3.31087375,False
0.3,0.6,0.2,200.0,100,6,0,0.0,False,0.52592328,0.45363296,0.15441987,0.1832518,0.02411359,0.10753674,6.48793419,4.89184191,False
