alpha,beta,gamma,n_a,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.3,0.4,-0.2,200.0,48,48,ok,0,0,0,0,1.2872,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,49,49,ok,0,0,0,0,1.3486,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,50,50,ok,0,0,0,1,12.2249,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,51,51,ok,0,0,0,2,7.0122,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,52,52,ok,0,0,0,0,0.4568,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,53,53,ok,0,0,0,0,0.6039,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,54,54,ok,27,3,30,6,70.1715,0.36299189,0.2,0.1,3.41189885
0.3,0.4,-0.2,200.0,55,55,ok,0,0,0,1,2.9473,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,56,56,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,57,57,ok,0,2,2,5,27.1507,0.0,2.5,1.0,18.71497388
0.3,0.4,-0.2,200.0,58,58,ok,0,2,2,2,22.2552,0.0,1.0,1.0,8.31776617
0.3,0.4,-0.2,200.0,59,59,ok,10,0,10,2,34.0603,0.28783991,0.2,0.0,2.04938933
0.3,0.4,-0.2,200.0,60,60,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,61,61,ok,0,0,0,0,3.2648,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,62,62,ok,10,2,12,2,35.5754,0.27558124,0.16666667,0.16666667,2.36196997
0.3,0.4,-0.2,200.0,63,63,ok,0,0,0,1,8.2362,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,64,64,ok,0,0,0,0,0.3069,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,65,65,ok,2,0,2,2,17.0839,0.11477396,1.0,0.0,4.15888308
0.3,0.4,-0.2,200.0,66,66,ok,0,0,0,0,0.3069,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,67,67,ok,38,5,43,14,80.3686,0.41475572,0.3255814,0.11627907,5.11762822
0.3,0.4,-0.2,200.0,68,68,ok,0,0,0,0,0.8886,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,69,69,ok,0,0,0,0,1.1584,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,70,70,ok,3,4,7,3,35.9416,0.08103764,0.42857143,0.57142857,4.34064623
0.3,0.4,-0.2,200.0,71,71,ok,17,2,19,9,45.421,0.34337277,0.47368421,0.10526316,4.91110868
0.3,0.4,-0.2,200.0,72,72,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,73,73,ok,17,10,27,11,108.4186,0.141261,0.40740741,0.37037037,6.22588469
0.3,0.4,-0.2,200.0,74,74,ok,0,0,0,0,0.8886,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,75,75,ok,0,0,0,0,1.7619,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,76,76,ok,0,0,0,0,0.6039,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,77,77,ok,0,4,4,3,35.194,0.0,0.75,1.0,6.58489822
0.3,0.4,-0.2,200.0,78,78,ok,0,0,0,0,1.9795,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,79,79,ok,0,0,0,0,0.6114,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,80,80,ok,0,0,0,0,0.1545,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,81,81,ok,6,4,10,0,49.069,0.12227685,0.0,0.4,1.43457253
0.3,0.4,-0.2,200.0,82,82,ok,0,0,0,2,4.8268,0.0,0.0,0.0,0.69314718
0.3,0.4,-0.2,200.0,83,83,ok,30,7,37,11,97.343,0.27764733,0.2972973,0.18918919,4.91619578
