alpha,beta,gamma,n_a,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.7,0.8,0.1,500,54,54,ok,1095,0,1095,139,594.7656,0.77031861,0.12694064,0.0,46.07351862
0.5,0.6,-0.1,500,48,48,ok,164,4,168,66,306.7594,0.32206082,0.39285714,0.02380952,16.70857923
0.6,0.7,0.0,500,35,35,ok,0,0,0,0,0.7637,0.0,0.0,0.0,1.0
0.5,0.4,0.1,500,14,14,ok,0,0,0,0,3.9495,0.0,0.0,0.0,1.0
0.3,0.6,-0.1,200,75,75,ok,0,0,0,0,1.7619,0.0,0.0,0.0,1.0
0.6,0.7,-0.1,500,28,28,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.4,0.7,0.1,1000,84,84,ok,9585,68,9653,1258,1937.5057,0.36429177,0.13032218,0.00704444,198.59425661
0.5,0.8,0.1,200,69,69,timeout,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.5,0.7,-0.1,500,71,71,ok,9025,14,9039,2328,1109.7455,0.33494628,0.25755061,0.00154884,210.32236614
0.7,0.6,0.0,1000,52,52,ok,0,0,0,1,2.5399,0.0,0.0,0.0,1.0
0.5,0.7,0.0,1000,60,60,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.7,0.6,0.1,500,71,71,ok,0,0,0,0,0.7637,0.0,0.0,0.0,1.0
0.7,0.7,0.0,1000,80,80,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.4,0.5,-0.1,200,20,20,ok,89,10,99,56,377.628,0.151078,0.56565657,0.1010101,14.19663872
0.4,0.4,0.1,1000,14,14,ok,0,0,0,0,1.5322,0.0,0.0,0.0,1.0
0.5,0.7,0.0,1000,14,14,ok,0,0,0,4,9.5831,0.0,0.0,0.0,1.0
0.4,0.8,0.0,1000,20,20,capped,54089,86,54175,921,3557.9787,1.48894916,0.01700046,0.00158745,561.24208639
0.7,0.4,0.0,200,42,42,ok,0,0,0,0,1.2047,0.0,0.0,0.0,1.0
0.6,0.6,-0.1,500,81,81,ok,221,8,229,86,471.1309,0.25219572,0.37554585,0.0349345,20.50623124
0.3,0.7,-0.1,1000,51,51,ok,44996,146,45142,886,3145.1286,1.4509705,0.01962695,0.00323424,499.08185222
0.4,0.4,0.0,1000,71,71,ok,0,0,0,1,16.6707,0.0,0.0,0.0,1.0
0.3,0.8,0.1,1000,3,3,capped,59836,166,60002,532,4039.5958,2.34372992,0.00886637,0.00276657,596.69386562
0.6,0.5,0.0,500,50,50,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.3,0.7,0.1,200,43,43,capped,48582,96,48678,1743,2498.3837,1.05509343,0.03580673,0.00197214,532.47242341
0.3,0.4,0.1,1000,28,28,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.3,0.8,-0.1,200,36,36,capped,58757,97,58854,416,3224.1052,3.53183746,0.00706834,0.00164815,587.35281024
0.4,0.5,0.1,1000,36,36,ok,88,4,92,26,182.5501,0.38258691,0.2826087,0.04347826,10.49648117
