alpha,beta,gamma,n_a,n_ok,n_capped,n_timeout,timeout_frac,timeout_warning,mean_fitness,std_fitness,mean_mei,std_mei,mean_ncf,std_ncf,mean_dissipation,std_dissipation,pareto_front
0.3,0.8,0.0,500,100,86,0,0.0,False,2.15600421,0.96812717,0.00862208,0.00393543,0.0015183,0.00089166,496.95730511,201.55332425,True
0.3,0.8,0.0,1000,100,83,0,0.0,False,1.99138182,0.86830535,0.00838446,0.00380645,0.00262978,0.001213,495.03482779,201.42646558,False
0.3,0.8,0.1,200,96,83,4,0.04,False,1.94871248,0.9658953,0.01103615,0.00552499,0.00108793,0.00078474,498.3596253,198.35533945,True
0.3,0.8,0.1,500,99,86,1,0.01,False,2.16712565,1.00585145,0.00892362,0.00431812,0.00149921,0.00092746,502.60356496,196.52516385,True
0.3,0.8,0.1,1000,100,84,0,0.0,False,1.99453111,0.85830295,0.00870629,0.00394636,0.00271122,0.00128121,501.79250428,195.53981879,False
0.4,0.4,-0.1,200,100,0,0,0.0,False,0.02713196,0.07779753,0.22021311,0.60130377,0.08222222,0.24704766,1.65006812,1.47368906,False
0.4,0.4,-0.1,500,100,0,0,0.0,False,0.02713196,0.07779753,0.22021311,0.60130377,0.08222222,0.24704766,1.65006812,1.47368906,False
0.4,0.4,-0.1,1000,100,0,0,0.0,False,0.02713196,0.07779753,0.22021311,0.60130377,0.08222222,0.24704766,1.65006812,1.47368906,False
0.4,0.4,0.0,200,100,0,0,0.0,False,0.02855785,0.09435121,0.22818278,0.6669661,0.08344202,0.24635524,1.67130029,1.718734,False
0.4,0.4,0.0,500,100,0,0,0.0,False,0.02855785,0.09435121,0.22818278,0.6669661,0.08344202,0.24635524,1.67130029,1.718734,False
0.4,0.4,0.0,1000,100,0,0,0.0,False,0.02855785,0.09435121,0.22818278,0.6669661,0.08344202,0.24635524,1.67130029,1.718734,False
0.4,0.4,0.1,200,100,0,0,0.0,False,0.02086739,0.07331894,0.21056481,0.59983571,0.09996128,0.27314153,1.64616646,1.59002251,False
0.4,0.4,0.1,500,100,0,0,0.0,False,0.02086739,0.07331894,0.21056481,0.59983571,0.09996128,0.27314153,1.64616646,1.59002251,False
0.4,0.4,0.1,1000,100,0,0,0.0,False,0.02086739,0.07331894,0.21056481,0.59983571,0.09996128,0.27314153,1.64616646,1.59002251,False
0.4,0.5,-0.1,200,100,0,0,0.0,False,0.14784914,0.19928005,0.16165656,0.2256271,0.04949953,0.12163545,4.16613677,5.11998254,True
0.4,0.5,-0.1,500,100,0,0,0.0,False,0.14187099,0.18563534,0.16355241,0.22605605,0.05029612,0.12169584,4.07252302,4.67055719,True
0.4,0.5,-0.1,1000,100,0,0,0.0,False,0.14187099,0.18563534,0.16355241,0.22605605,0.05029612,0.12169584,4.07252302,4.67055719,True
0.4,0.5,0.0,200,100,0,0,0.0,False,0.13144422,0.17687371,0.22641269,0.54858421,0.07010941,0.17754277,4.32372654,4.86879259,False
0.4,0.5,0.0,500,100,0,0,0.0,False,0.13144422,0.17687371,0.22641269,0.54858421,0.07010941,0.17754277,4.32372654,4.86879259,False
0.4,0.5,0.0,1000,100,0,0,0.0,False,0.13144422,0.17687371,0.22641269,0.54858421,0.07010941,0.17754277,4.32372654,4.86879259,False
0.4,0.5,0.1,200,100,0,0,0.0,False,0.14674536,0.18827942,0.23453015,0.43916121,0.05187012,0.12644391,4.49513514,4.76235631,False
0.4,0.5,0.1,500,100,0,0,0.0,False,0.14674536,0.18827942,0.23453015,0.43916121,0.05187012,0.12644391,4.49513514,4.76235631,False
0.4,0.5,0.1,1000,100,0,0,0.0,False,0.14674536,0.18827942,0.23453015,0.43916121,0.05187012,0.12644391,4.49513514,4.76235631,False
0.4,0.6,-0.1,200,100,2,0,0.0,False,0.45771983,0.39130881,0.16454037,0.18886609,0.01836412,0.035184,53.79714667,105.67082239,True
0.4,0.6,-0.1,500,100,0,0,0.0,False,0.28730468,0.23670879,0.17197811,0.1405874,0.03805063,0.04104557,21.64953575,31.67316524,True
0.4,0.6,-0.1,1000,100,0,0,0.0,False,0.27050414,0.23199431,0.1756357,0.13789005,0.04322279,0.04359996,17.76535346,15.80237749,True
0.4,0.6,0.0,200,100,0,0,0.0,False,0.3813548,0.35972229,0.16330877,0.18059876,0.01417977,0.02177781,53.25156458,94.64952587,True
0.4,0.6,0.0,500,100,0,0,0.0,False,0.25345661,0.22784982,0.15394189,0.13405201,0.03255552,0.03257294,19.63674755,25.00558147,True
0.4,0.6,0.0,1000,100,0,0,0.0,False,0.23292034,0.2191659,0.16276382,0.13636651,0.03814235,0.03688552,16.96205913,15.8155558,True
0.4,0.6,0.1,200,100,0,0,0.0,False,0.33489317,0.32392006,0.17570248,0.21389642,0.01834203,0.0375631,47.28327217,85.14099581,True
0.4,0.6,0.1,500,100,0,0,0.0,False,0.24388784,0.23072475,0.14123887,0.1292278,0.0387249,0.04505827,16.44085765,17.69711212,True
0.4,0.6,0.1,1000,100,0,0,0.0,False,0.22557746,0.22300403,0.15232666,0.135348,0.04256272,0.04740088,15.55460377,15.40835672,True
0.4,0.7,-0.1,200,99,34,1,0.01,False,0.66918804,0.470442,0.05205712,0.06927098,0.00094209,0.001184,334.64959781,245.85476443,True
0.4,0.7,-0.1,500,100,21,0,0.0,False,0.53910974,0.38731493,0.07392756,0.07116503,0.00470419,0.01020031,241.14216348,225.00826522,True
0.4,0.7,-0.1,1000,100,8,0,0.0,False,0.37834111,0.30385587,0.0801391,0.06460488,0.0152443,0.01770187,154.88402548,179.60338514,True
0.4,0.7,0.0,200,99,34,1,0.01,False,0.66371725,0.46863309,0.06010734,0.09523126,0.00090679,0.00119622,336.22461092,247.08158673,True
0.4,0.7,0.0,500,100,21,0,0.0,False,0.55549404,0.4003415,0.06878326,0.06588692,0.0042221,0.00941747,248.37820558,226.52821699,True
0.4,0.7,0.0,1000,100,7,0,0.0,False,0.36404495,0.28337958,0.08171835,0.06532597,0.01471477,0.01782131,153.79996616,175.09568666,True
0.4,0.7,0.1,200,100,39,0,0.0,False,0.64917378,0.45776314,0.0664284,0.09796817,0.00150364,0.00421105,333.90432422,248.76783507,True
