alpha,beta,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.6,0.6,72,72,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.7,0.4,50,50,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.5,0.5,42,42,ok,0,0,0,0,1.2047,0.0,0.0,0.0,1.0
0.3,0.5,38,38,ok,0,0,0,0,1.465,0.0,0.0,0.0,1.0
0.4,0.5,64,64,ok,0,0,0,0,3.0128,0.0,0.0,0.0,1.0
0.6,0.6,89,89,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.5,0.6,70,70,ok,121,0,121,24,124.168,0.78587616,0.19834711,0.0,11.28185393
0.7,0.5,89,89,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.6,0.7,14,14,ok,434,8,442,162,585.5103,0.28291363,0.36651584,0.01809955,31.06662108
0.3,0.4,23,23,ok,0,3,3,0,23.5683,0.0,0.0,1.0,2.0
0.7,0.4,33,33,ok,0,0,0,0,6.8649,0.0,0.0,0.0,1.0
0.4,0.7,72,72,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.6,0.6,56,56,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.3,0.5,85,85,ok,78,12,90,26,185.5738,0.33358569,0.28888889,0.13333333,11.28952689
0.6,0.5,10,10,ok,5,0,5,9,74.0659,0.06193346,1.8,0.0,3.15073803
0.3,0.4,75,75,ok,0,0,0,0,1.7619,0.0,0.0,0.0,1.0
0.7,0.4,93,93,ok,0,0,0,1,6.562,0.0,0.0,0.0,1.0
0.6,0.4,2,2,ok,0,0,0,3,12.8457,0.0,0.0,0.0,1.0
0.5,0.7,95,95,ok,12348,21,12369,2413,1175.1706,0.41812219,0.19508449,0.00169779,246.39542824
0.7,0.7,68,68,ok,425,1,426,113,558.4772,0.35727601,0.26525822,0.00234742,27.63194369
0.4,0.8,76,76,capped,55542,23,55565,624,3249.6658,2.36071878,0.01123009,0.00041393,566.89790763
0.5,0.4,1,1,ok,0,0,0,2,6.3998,0.0,0.0,0.0,1.0
0.5,0.8,36,36,capped,59486,9,59495,1147,3553.8706,1.34229109,0.01927893,0.00015127,597.88819569
0.7,0.5,39,39,ok,0,0,0,0,1.8077,0.0,0.0,0.0,1.0
0.5,0.4,57,57,ok,0,0,0,1,12.6977,0.0,0.0,0.0,1.0
0.6,0.6,42,42,ok,0,0,0,0,1.2047,0.0,0.0,0.0,1.0
0.4,0.7,48,48,ok,0,0,0,0,1.4924,0.0,0.0,0.0,1.0
0.6,0.6,11,11,ok,0,0,0,0,0.6114,0.0,0.0,0.0,1.0
0.7,0.8,85,85,ok,35835,5,35840,3501,2281.1941,0.43623654,0.09768415,0.00013951,459.25889036
0.3,0.5,67,67,ok,149,14,163,54,270.9273,0.35711891,0.33128834,0.08588957,16.60060011
0.4,0.5,58,58,ok,78,6,84,32,154.9837,0.38127171,0.38095238,0.07142857,10.92116691
0.6,0.8,71,71,capped,56439,9,56448,2350,3612.5676,0.63767184,0.04163124,0.00015944,589.96085886
0.6,0.8,68,68,ok,13687,10,13697,1509,1133.0632,0.75075474,0.11017011,0.00073009,244.75470645
0.6,0.4,50,50,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.5,0.6,4,4,ok,230,19,249,89,537.7961,0.22628114,0.35742972,0.07630522,22.25324206
0.4,0.8,55,55,capped,61545,44,61589,756,3601.7319,1.99621645,0.01227492,0.00071441,607.97398146
0.4,0.6,86,86,ok,412,44,456,105,672.9408,0.29865273,0.23026316,0.09649123,30.75534968
0.5,0.5,75,75,ok,1,0,1,2,25.1732,0.03894583,2.0,0.0,3.0
0.6,0.6,74,74,ok,173,2,175,48,309.964,0.37711439,0.27428571,0.01142857,15.51797299
0.7,0.7,44,44,ok,278,1,279,78,302.5811,0.51615843,0.27956989,0.00358423,21.1006048
0.7,0.5,73,73,ok,0,0,0,0,2.8799,0.0,0.0,0.0,1.0
0.7,0.6,39,39,ok,48,0,48,15,96.0151,0.43471439,0.3125,0.0,6.6711555
0.4,0.5,33,33,ok,64,1,65,11,84.917,0.67898863,0.16923077,0.01538462,7.38607953
0.6,0.6,96,96,ok,134,1,135,33,219.7291,0.45852775,0.24444444,0.00740741,12.69630731
0.7,0.4,9,9,ok,0,0,0,0,1.65,0.0,0.0,0.0,1.0
0.6,0.7,95,95,ok,2164,13,2177,346,1170.7018,0.41445379,0.15893431,0.00597152,75.36292056
0.4,0.8,3,3,capped,59519,43,59562,852,3468.3408,1.80258984,0.01430442,0.00072194,595.75657991
0.6,0.6,64,64,ok,0,0,0,0,1.2242,0.0,0.0,0.0,1.0
0.5,0.4,98,98,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.5,0.5,50,50,ok,0,0,0,4,16.55,0.0,0.0,0.0,1.0
0.7,0.6,62,62,ok,0,0,0,0,1.6465,0.0,0.0,0.0,1.0
0.5,0.7,20,20,ok,2171,20,2191,300,990.6352,0.5478808,0.13692378,0.00912825,74.48123922
0.5,0.6,39,39,ok,179,5,184,76,340.6271,0.29858032,0.41304348,0.02717391,18.06975713
0.4,0.4,24,24,ok,0,0,0,0,1.0255,0.0,0.0,0.0,1.0
0.7,0.8,19,19,capped,60971,2,60973,2456,3630.7624,0.6569989,0.04028012,3.28e-05,620.19822025
0.5,0.5,64,64,ok,0,0,0,0,1.0697,0.0,0.0,0.0,1.0
0.7,0.6,23,23,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.3,0.8,63,63,capped,57649,65,57714,496,3576.0651,2.70483076,0.0085941,0.00112624,580.31925499
0.6,0.5,27,27,ok,0,0,0,0,0.9176,0.0,0.0,0.0,1.0
0.4,0.8,63,63,capped,58003,67,58070,768,3406.3678,1.96172984,0.01322542,0.00115378,585.39500416
0.7,0.5,61,61,ok,0,0,0,0,2.4431,0.0,0.0,0.0,1.0
0.3,0.7,3,3,ok,14511,44,14555,1051,1131.9128,1.11380471,0.07220886,0.00302302,246.72094808
0.3,0.6,62,62,ok,567,48,615,108,610.3445,0.44662671,0.17560976,0.07804878,35.27166263
0.5,0.8,33,33,capped,62197,24,62221,1282,4001.5398,1.12469368,0.02060398,0.00038572,616.95997762
0.4,0.6,84,84,ok,562,37,599,148,758.2774,0.29885226,0.24707846,0.06176962,36.20897364
0.7,0.8,17,17,capped,54278,3,54281,2693,3251.1823,0.59773898,0.0496122,5.527e-05,579.10728328
0.7,0.4,16,16,ok,0,0,0,0,1.0699,0.0,0.0,0.0,1.0
0.3,0.8,96,96,capped,58050,71,58121,483,3525.7031,2.82415115,0.00831025,0.00122159,582.93576289
0.7,0.8,71,71,capped,57598,2,57600,2514,3408.8514,0.64638869,0.04364583,3.472e-05,599.04227546
0.5,0.6,20,20,ok,95,0,95,23,116.471,0.66313334,0.24210526,0.0,9.95210767
0.5,0.5,69,69,ok,0,0,0,0,2.0453,0.0,0.0,0.0,1.0
0.6,0.7,33,33,ok,1163,8,1171,200,902.308,0.42963896,0.17079419,0.00683177,50.39835101
0.7,0.4,31,31,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.4,0.6,13,13,ok,0,0,0,0,1.0594,0.0,0.0,0.0,1.0
0.7,0.5,55,55,ok,0,0,0,0,3.6183,0.0,0.0,0.0,1.0
0.4,0.5,52,52,ok,29,2,31,9,61.6394,0.43163122,0.29032258,0.06451613,5.21634051
0.7,0.7,80,80,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.3,0.7,71,71,capped,57030,70,57100,964,3202.1234,1.67387753,0.01688266,0.00122592,580.98902141
0.4,0.5,35,35,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.3,0.4,26,26,ok,23,7,30,16,87.9558,0.22542681,0.53333333,0.23333333,7.02649611
0.5,0.7,36,36,capped,49392,30,49422,2859,2696.242,0.61908855,0.05784873,0.00060702,548.58203997
0.4,0.7,88,88,ok,2588,29,2617,355,945.6195,0.60150116,0.13565151,0.01108139,83.9153239
0.4,0.5,21,21,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.7,0.6,95,95,ok,87,0,87,42,248.9602,0.24609394,0.48275862,0.0,11.20359893
0.6,0.4,48,48,ok,0,0,0,0,1.2872,0.0,0.0,0.0,1.0
0.3,0.4,57,57,ok,38,1,39,5,64.2816,0.56299923,0.12820513,0.02564103,5.12114948
0.5,0.4,29,29,ok,0,0,0,0,0.7585,0.0,0.0,0.0,1.0
0.4,0.8,84,84,capped,55521,40,55561,829,3419.7053,1.74764368,0.01492054,0.00071993,569.11349788
0.5,0.8,22,22,ok,21774,15,21789,1683,1459.922,0.83648319,0.07724081,0.00068842,323.6265413
0.3,0.7,16,16,ok,44963,76,45039,1244,2471.4878,1.35362243,0.02762051,0.00168743,501.45473669
0.6,0.4,25,25,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.7,0.4,64,64,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.7,0.5,10,10,ok,4,1,5,17,116.8678,0.02925359,3.4,0.2,5.94139171
0.4,0.8,67,67,capped,54128,36,54164,834,3224.5433,1.79724338,0.01539768,0.00066465,559.76551249
0.7,0.4,22,22,ok,0,0,0,0,1.1953,0.0,0.0,0.0,1.0
0.3,0.7,75,75,ok,20039,49,20088,1416,1373.4451,0.96242198,0.07048984,0.00243927,305.16825123
0.6,0.5,38,38,ok,4,0,4,7,37.5785,0.09948012,1.75,0.0,2.75
0.3,0.4,52,52,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.5,0.7,73,73,ok,1797,18,1815,214,875.0217,0.6540329,0.11790634,0.00991736,64.64723183
0.7,0.7,18,18,ok,388,2,390,125,576.8617,0.2989355,0.32051282,0.00512821,27.26558042
0.3,0.4,41,41,ok,20,2,22,13,59.1132,0.29941056,0.59090909,0.09090909,5.24392702
0.6,0.5,57,57,ok,0,0,0,3,28.2781,0.0,0.0,0.0,1.0
0.4,0.5,32,32,ok,56,3,59,19,100.5888,0.46783373,0.3220339,0.05084746,8.10260256
0.5,0.6,99,99,ok,259,18,277,126,534.3822,0.21445654,0.45487365,0.06498195,25.33737566
0.3,0.4,51,51,ok,1,0,1,2,30.1491,0.03251814,2.0,0.0,3.0
0.6,0.8,37,37,capped,57827,8,57835,1167,3426.1404,1.33213699,0.02017809,0.00013832,587.22447707
0.7,0.6,78,78,ok,56,0,56,30,153.7443,0.28018543,0.53571429,0.0,8.650543
0.7,0.4,59,59,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.5,0.7,37,37,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.5,0.8,91,91,capped,48567,36,48603,2215,2960.9131,0.70854042,0.04557332,0.0007407,536.28094312
0.7,0.7,48,48,ok,696,1,697,173,842.0559,0.30276502,0.2482066,0.00143472,37.8156786
0.5,0.8,46,46,ok,40798,32,40830,1663,2358.8815,0.9810258,0.04072986,0.00078374,475.26821079
0.4,0.4,55,55,ok,0,1,1,2,17.8569,0.0,2.0,1.0,6.0
0.7,0.4,67,67,ok,0,0,0,0,15.4178,0.0,0.0,0.0,1.0
0.4,0.6,90,90,ok,0,0,0,0,4.3,0.0,0.0,0.0,1.0
0.3,0.7,47,47,ok,19426,55,19481,669,1338.7239,1.88697453,0.03434115,0.00282326,289.0036287
0.7,0.6,51,51,ok,19,0,19,10,60.15,0.28716081,0.52631579,0.0,4.18235659
0.3,0.7,62,62,ok,32797,61,32858,1459,2267.3471,0.92783339,0.04440319,0.00185647,413.08748916
0.7,0.5,4,4,ok,30,0,30,18,107.245,0.23706215,0.6,0.0,5.94486157
0.5,0.7,8,8,ok,24653,23,24676,2597,1489.1109,0.61384933,0.10524396,0.00093208,360.84458654
0.6,0.7,81,81,ok,5422,6,5428,2582,1067.1617,0.18943948,0.47568165,0.00110538,175.59276813
0.4,0.4,26,26,ok,0,0,0,0,1.0532,0.0,0.0,0.0,1.0
0.7,0.5,29,29,ok,0,0,0,0,10.9255,0.0,0.0,0.0,1.0
0.3,0.6,29,29,ok,10964,72,11036,1986,1072.7452,0.4899572,0.17995651,0.0065241,226.55426034
0.4,0.8,19,19,capped,56295,76,56371,800,3064.9125,2.04084133,0.01419169,0.00134821,574.57923799
0.3,0.4,36,36,ok,12,0,12,2,25.1923,0.46699599,0.16666667,0.0,2.35328873
0.6,0.5,39,39,ok,0,0,0,0,1.8077,0.0,0.0,0.0,1.0
0.4,0.7,10,10,ok,3845,27,3872,677,961.2616,0.51479428,0.17484504,0.00697314,112.26118813
0.6,0.4,4,4,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
