treatment,n_tumours,centroid_dist,alpha,beta,gamma,n_a,NCF_sim,MEI,Fitness,Dissipation,b_gamma,C_est,strategy
Control,6,0.23984,0.3,0.6,0.1,500,0.04634,0.12146,0.3293,5.1725,0.66,0.3695,Invasive
Treated,7,0.31334,0.3,0.6,-0.1,750,0.05243,0.11229,0.28164,4.9222,0.54,0.3786,Invasive
