x,y,z,phenotype,oxygen,C,b,d,sim_time
8,17,7,surface,1.0,0.0,0.63,0.0,40
14,12,5,surface,1.0,0.0,0.63,0.0,40
2,9,13,surface,1.0,0.0,0.63,0.0,40
-4,0,15,surface,1.0,0.0,0.63,0.0,40
0,-8,9,surface,0.981101,0.018899,0.616771,0.00567,40
-5,10,-15,surface,1.0,0.0,0.63,0.0,40
-2,2,-12,surface,0.831897,0.168103,0.652328,0.050431,40
-9,8,-15,surface,1.0,0.0,0.77,0.0,40
10,-12,-1,surface,1.0,0.0,0.63,0.0,40
9,17,-7,surface,1.0,0.0,0.77,0.0,40
-3,16,-12,surface,1.0,0.0,0.77,0.0,40
1,16,11,surface,1.0,0.0,0.77,0.0,40
1,-9,8,surface,0.992013,0.007987,0.764409,0.002396,40
-2,3,14,surface,1.0,0.0,0.77,0.0,40
-13,-11,-8,surface,1.0,0.0,0.77,0.0,40
-4,-1,-15,surface,1.0,0.0,0.77,0.0,40
5,-4,7,surface,0.856557,0.143443,0.52959,0.043033,40
-13,-14,8,surface,1.0,0.0,0.77,0.0,40
-14,5,9,surface,1.0,0.0,0.63,0.0,40
-11,12,-8,surface,0.996909,0.003091,0.627836,0.000927,40
-6,-9,14,surface,0.999976,2.4e-05,0.629983,7e-06,40
-12,9,-11,surface,1.0,0.0,0.77,0.0,40
3,-4,12,surface,0.998156,0.001844,0.768709,0.000553,40
17,1,-3,surface,1.0,0.0,0.77,0.0,40
14,5,-15,surface,1.0,0.0,0.63,0.0,40
-10,13,6,surface,1.0,0.0,0.63,0.0,40
8,-6,6,surface,0.862368,0.137632,0.673657,0.04129,40
-12,9,-12,surface,1.0,0.0,0.63,0.0,40
-7,-19,-3,surface,1.0,0.0,0.77,0.0,40
2,10,14,surface,1.0,0.0,0.77,0.0,40
-7,16,5,surface,1.0,0.0,0.77,0.0,40
-7,17,5,surface,1.0,0.0,0.77,0.0,40
9,5,8,surface,0.826419,0.173581,0.508494,0.052074,40
12,2,9,surface,0.999999,1e-06,0.629999,0.0,40
8,5,9,surface,0.825439,0.174561,0.647807,0.052368,40
14,2,-13,surface,0.996909,0.003091,0.627836,0.000927,40
10,-8,-2,surface,0.851135,0.148865,0.525795,0.044659,40
-14,-3,12,surface,1.0,0.0,0.77,0.0,40
9,-14,-1,surface,1.0,0.0,0.77,0.0,40
10,2,-16,surface,1.0,0.0,0.77,0.0,40
13,-5,-9,surface,1.0,0.0,0.63,0.0,40
7,-15,-3,surface,1.0,0.0,0.77,0.0,40
-12,1,14,surface,1.0,0.0,0.63,0.0,40
15,14,-6,surface,1.0,0.0,0.77,0.0,40
12,-10,-4,surface,1.0,0.0,0.77,0.0,40
-4,-14,9,surface,0.999876,0.000124,0.769913,3.7e-05,40
4,-7,-14,surface,1.0,0.0,0.77,0.0,40
-11,1,12,surface,0.848387,0.151613,0.663871,0.045484,40
14,14,-7,surface,1.0,0.0,0.77,0.0,40
-3,-7,14,surface,0.999997,3e-06,0.769998,1e-06,40
0,-3,-15,surface,1.0,0.0,0.77,0.0,40
7,-3,-12,surface,0.840097,0.159903,0.518068,0.047971,40
-5,-11,-8,surface,0.819352,0.180648,0.503547,0.054194,40
-1,18,8,surface,1.0,0.0,0.63,0.0,40
-11,-11,11,surface,1.0,0.0,0.63,0.0,40
13,15,-7,surface,1.0,0.0,0.77,0.0,40
13,-5,2,surface,0.996909,0.003091,0.767836,0.000927,40
6,-14,-8,surface,1.0,0.0,0.77,0.0,40
11,13,9,surface,1.0,0.0,0.77,0.0,40
3,-8,-14,surface,1.0,0.0,0.77,0.0,40
8,17,-8,surface,1.0,0.0,0.77,0.0,40
-8,12,9,surface,1.0,0.0,0.63,0.0,40
1,13,-16,surface,1.0,0.0,0.63,0.0,40
-16,0,-5,surface,0.977023,0.022977,0.613916,0.006893,40
0,7,-16,surface,1.0,0.0,0.63,0.0,40
-1,2,-13,surface,0.846296,0.153704,0.662407,0.046111,40
4,-8,-13,surface,1.0,0.0,0.77,0.0,40
-2,3,-13,surface,0.848328,0.151672,0.523829,0.045502,40
0,16,-13,surface,1.0,0.0,0.77,0.0,40
2,7,14,surface,1.0,0.0,0.77,0.0,40
7,-4,-11,surface,0.8397,0.1603,0.65779,0.04809,40
-18,-9,-4,surface,1.0,0.0,0.77,0.0,40
-19,-15,1,surface,1.0,0.0,0.63,0.0,40
-7,4,15,surface,1.0,0.0,0.63,0.0,40
16,0,-9,surface,1.0,0.0,0.77,0.0,40
-11,-12,-9,surface,1.0,0.0,0.77,0.0,40
16,0,2,surface,0.991757,0.008243,0.76423,0.002473,40
-7,6,-12,surface,0.845223,0.154777,0.661656,0.046433,40
-12,14,-4,surface,1.0,0.0,0.77,0.0,40
-5,-10,-9,surface,0.842613,0.157387,0.519829,0.047216,40
4,-14,-9,surface,1.0,0.0,0.77,0.0,40
-6,11,13,surface,1.0,0.0,0.63,0.0,40
1,-16,0,surface,1.0,0.0,0.77,0.0,40
-11,10,5,surface,0.999999,1e-06,0.769999,0.0,40
-2,1,-13,surface,0.843373,0.156627,0.660361,0.046988,40
-16,0,-2,surface,1.0,0.0,0.63,0.0,40
-4,-9,13,surface,0.997405,0.002595,0.768184,0.000778,40
13,-2,7,surface,1.0,0.0,0.77,0.0,40
2,-6,11,surface,0.859461,0.140539,0.531623,0.042162,40
6,-4,-12,surface,0.84836,0.15164,0.663852,0.045492,40
12,17,3,surface,1.0,0.0,0.63,0.0,40
-15,-18,0,surface,1.0,0.0,0.63,0.0,40
-7,17,-6,surface,1.0,0.0,0.63,0.0,40
-4,8,14,surface,1.0,0.0,0.77,0.0,40
3,-12,7,surface,0.990722,0.009278,0.763505,0.002783,40
3,-5,9,surface,0.856152,0.143848,0.529306,0.043154,40
-9,-13,-11,surface,1.0,0.0,0.63,0.0,40
10,-13,-5,surface,1.0,0.0,0.63,0.0,40
-10,3,15,surface,1.0,0.0,0.77,0.0,40
-7,7,-11,surface,0.831775,0.168225,0.652243,0.050467,40
-7,1,-15,surface,1.0,0.0,0.63,0.0,40
17,7,1,surface,1.0,0.0,0.63,0.0,40
13,12,-9,surface,1.0,0.0,0.77,0.0,40
