x,y,z,phenotype,oxygen,C,b,d,sim_time
16,-3,0,surface,1.0,0.0,0.77,0.0,40
-17,-12,6,surface,1.0,0.0,0.77,0.0,40
-14,3,8,surface,1.0,0.0,0.63,0.0,40
-11,7,9,surface,1.0,0.0,0.63,0.0,40
-18,-12,-3,surface,0.991753,0.008247,0.764227,0.002474,40
14,-5,-1,surface,1.0,0.0,0.63,0.0,40
10,7,11,surface,0.996909,0.003091,0.767836,0.000927,40
-10,14,5,surface,1.0,0.0,0.77,0.0,40
-12,-3,14,surface,1.0,0.0,0.77,0.0,40
-16,4,-3,surface,1.0,0.0,0.63,0.0,40
-8,-13,-10,surface,1.0,0.0,0.63,0.0,40
-12,10,-2,surface,1.0,0.0,0.77,0.0,40
-2,3,-15,surface,1.0,0.0,0.77,0.0,40
16,6,-11,surface,1.0,0.0,0.63,0.0,40
-16,-2,7,surface,0.999585,0.000415,0.629709,0.000125,40
-2,18,8,surface,1.0,0.0,0.77,0.0,40
7,-8,-11,surface,1.0,0.0,0.77,0.0,40
-14,7,-3,surface,0.993792,0.006208,0.765655,0.001862,40
4,-16,-2,surface,1.0,0.0,0.77,0.0,40
-18,-7,-3,surface,1.0,0.0,0.63,0.0,40
-16,-8,-5,surface,1.0,0.0,0.77,0.0,40
-16,-5,9,surface,1.0,0.0,0.77,0.0,40
-17,-6,-4,surface,0.999983,1.7e-05,0.769988,5e-06,40
12,-8,-1,surface,1.0,0.0,0.63,0.0,40
14,8,6,surface,1.0,0.0,0.63,0.0,40
-18,-11,4,surface,1.0,0.0,0.63,0.0,40
4,4,12,surface,0.994655,0.005345,0.766258,0.001604,40
12,11,-10,surface,1.0,0.0,0.77,0.0,40
8,-15,-3,surface,1.0,0.0,0.63,0.0,40
0,-7,-13,surface,1.0,0.0,0.63,0.0,40
14,-2,-10,surface,1.0,0.0,0.77,0.0,40
-4,-15,8,surface,1.0,0.0,0.77,0.0,40
-17,-10,-4,surface,0.99998,2e-05,0.769986,6e-06,40
-18,-5,4,surface,0.999876,0.000124,0.629913,3.7e-05,40
-7,-5,15,surface,0.999999,1e-06,0.629999,0.0,40
-16,6,-2,surface,1.0,0.0,0.63,0.0,40
-16,-2,-1,surface,0.999872,0.000128,0.769911,3.8e-05,40
-16,4,-2,surface,0.999999,1e-06,0.629999,0.0,40
-16,5,-3,surface,0.999999,1e-06,0.769999,0.0,40
11,11,-12,surface,1.0,0.0,0.63,0.0,40
-16,-1,-2,surface,0.992419,0.007581,0.764693,0.002274,40
3,-5,-15,surface,1.0,0.0,0.77,0.0,40
16,7,-8,surface,1.0,0.0,0.77,0.0,40
14,15,3,surface,1.0,0.0,0.63,0.0,40
-9,14,-7,surface,1.0,0.0,0.63,0.0,40
-11,-16,-7,surface,1.0,0.0,0.77,0.0,40
0,-17,-3,surface,1.0,0.0,0.63,0.0,40
14,-2,2,surface,0.99381,0.00619,0.765667,0.001857,40
-14,-3,-8,surface,0.99866,0.00134,0.629062,0.000402,40
-6,-19,-4,surface,1.0,0.0,0.63,0.0,40
-16,-7,-6,surface,1.0,0.0,0.77,0.0,40
-7,8,12,surface,0.999996,4e-06,0.629997,1e-06,40
-14,0,-11,surface,0.994699,0.005301,0.766289,0.00159,40
-9,-16,8,surface,1.0,0.0,0.77,0.0,40
1,-4,14,surface,0.999265,0.000735,0.769485,0.000221,40
8,-12,-6,surface,1.0,0.0,0.63,0.0,40
16,13,-2,surface,1.0,0.0,0.77,0.0,40
4,6,-16,surface,0.996909,0.003091,0.627836,0.000927,40
-16,-5,-8,surface,1.0,0.0,0.77,0.0,40
-12,3,14,surface,1.0,0.0,0.63,0.0,40
-4,-16,5,surface,1.0,0.0,0.63,0.0,40
12,-7,-5,surface,0.999996,4e-06,0.629997,1e-06,40
-10,14,-6,surface,1.0,0.0,0.63,0.0,40
-11,14,-1,surface,1.0,0.0,0.77,0.0,40
-6,-13,-10,surface,1.0,0.0,0.63,0.0,40
-10,13,3,surface,0.993818,0.006182,0.765673,0.001855,40
0,-17,-4,surface,0.996909,0.003091,0.627836,0.000927,40
11,8,-15,surface,1.0,0.0,0.63,0.0,40
6,18,8,surface,1.0,0.0,0.63,0.0,40
-7,-18,0,surface,1.0,0.0,0.63,0.0,40
6,-16,0,surface,1.0,0.0,0.77,0.0,40
-3,4,14,surface,1.0,0.0,0.63,0.0,40
-12,-10,10,surface,0.993818,0.006182,0.765673,0.001855,40
-6,2,15,surface,1.0,0.0,0.77,0.0,40
-1,-13,7,surface,0.999695,0.000305,0.629787,9.1e-05,40
-9,-11,-11,surface,1.0,0.0,0.77,0.0,40
0,10,13,surface,0.999999,1e-06,0.769999,0.0,40
5,9,13,surface,0.996909,0.003091,0.627836,0.000927,40
-1,5,14,surface,0.999585,0.000415,0.769709,0.000125,40
7,9,-16,surface,1.0,0.0,0.77,0.0,40
-11,10,-10,surface,1.0,0.0,0.77,0.0,40
-3,16,8,surface,1.0,0.0,0.77,0.0,40
4,14,-15,surface,1.0,0.0,0.63,0.0,40
14,-1,5,surface,1.0,0.0,0.63,0.0,40
-8,-1,-13,surface,0.999996,4e-06,0.629997,1e-06,40
7,-3,7,surface,0.993803,0.006197,0.625662,0.001859,40
-5,12,12,surface,1.0,0.0,0.77,0.0,40
-15,0,8,surface,1.0,0.0,0.77,0.0,40
-16,-1,0,surface,0.999992,8e-06,0.629995,2e-06,40
-3,-1,15,surface,1.0,0.0,0.63,0.0,40
15,9,-10,surface,1.0,0.0,0.77,0.0,40
0,4,13,surface,0.988568,0.011432,0.621997,0.00343,40
4,-15,5,surface,0.996905,0.003095,0.627834,0.000928,40
3,-15,5,surface,0.996909,0.003091,0.767836,0.000927,40
-5,-16,-10,surface,1.0,0.0,0.77,0.0,40
-14,4,1,surface,0.996806,0.003194,0.627764,0.000958,40
2,16,10,surface,0.999999,1e-06,0.629999,0.0,40
-7,-4,-11,surface,0.999994,6e-06,0.629996,2e-06,40
-6,-15,9,surface,0.996909,0.003091,0.627836,0.000927,40
16,2,0,surface,1.0,0.0,0.77,0.0,40
9,-13,0,surface,0.999938,6.2e-05,0.629957,1.9e-05,40
-17,-6,6,surface,1.0,0.0,0.63,0.0,40
-10,-11,-10,surface,1.0,0.0,0.77,0.0,40
-16,1,-4,surface,0.986018,0.013982,0.620212,0.004195,40
12,4,-15,surface,1.0,0.0,0.77,0.0,40
-4,-2,15,surface,1.0,0.0,0.77,0.0,40
-19,-8,4,surface,1.0,0.0,0.77,0.0,40
7,5,13,surface,1.0,0.0,0.77,0.0,40
9,-2,7,surface,1.0,0.0,0.63,0.0,40
-2,1,-15,surface,1.0,0.0,0.63,0.0,40
5,6,13,surface,0.999999,1e-06,0.629999,0.0,40
-14,-3,13,surface,1.0,0.0,0.63,0.0,40
6,-12,-9,surface,1.0,0.0,0.77,0.0,40
-11,13,2,surface,1.0,0.0,0.63,0.0,40
-16,-7,8,surface,1.0,0.0,0.77,0.0,40
2,-5,-15,surface,1.0,0.0,0.63,0.0,40
-1,-6,14,surface,0.999999,1e-06,0.769999,0.0,40
4,5,13,surface,0.999997,3e-06,0.629998,1e-06,40
6,-14,5,surface,0.999876,0.000124,0.769913,3.7e-05,40
-13,1,13,surface,1.0,0.0,0.77,0.0,40
-15,5,0,surface,1.0,0.0,0.77,0.0,40
9,16,-8,surface,1.0,0.0,0.63,0.0,40
9,8,11,surface,0.996905,0.003095,0.767834,0.000928,40
-13,10,-7,surface,1.0,0.0,0.63,0.0,40
-19,-8,-1,surface,1.0,0.0,0.63,0.0,40
-6,-2,-14,surface,1.0,0.0,0.63,0.0,40
10,-4,-15,surface,1.0,0.0,0.77,0.0,40
-5,11,-15,surface,0.996909,0.003091,0.627836,0.000927,40
-11,5,13,surface,1.0,0.0,0.77,0.0,40
17,6,-1,surface,1.0,0.0,0.77,0.0,40
-3,-11,10,surface,0.978147,0.021853,0.754703,0.006556,40
15,-1,2,surface,0.991753,0.008247,0.624227,0.002474,40
-9,16,3,surface,1.0,0.0,0.63,0.0,40
7,-14,1,surface,0.996447,0.003553,0.767513,0.001066,40
-8,-17,-8,surface,1.0,0.0,0.77,0.0,40
8,7,12,surface,1.0,0.0,0.63,0.0,40
-17,-11,7,surface,1.0,0.0,0.77,0.0,40
8,13,-13,surface,1.0,0.0,0.63,0.0,40
5,6,-17,surface,1.0,0.0,0.77,0.0,40
5,-9,-12,surface,1.0,0.0,0.63,0.0,40
-4,-8,-12,surface,1.0,0.0,0.63,0.0,40
0,-12,8,surface,0.994035,0.005965,0.625824,0.00179,40
-8,-15,9,surface,1.0,0.0,0.63,0.0,40
5,-16,-2,surface,1.0,0.0,0.63,0.0,40
11,-8,1,surface,0.999999,1e-06,0.77,0.0,40
4,-4,-15,surface,1.0,0.0,0.63,0.0,40
5,4,-16,surface,0.996909,0.003091,0.627836,0.000927,40
16,-1,0,surface,1.0,0.0,0.63,0.0,40
16,6,3,surface,1.0,0.0,0.77,0.0,40
0,12,13,surface,0.996908,0.003092,0.767836,0.000928,40
14,-5,-2,surface,0.996909,0.003091,0.767836,0.000927,40
11,-11,-4,surface,1.0,0.0,0.63,0.0,40
11,-8,-3,surface,0.984538,0.015462,0.759177,0.004639,40
-7,13,-12,surface,1.0,0.0,0.63,0.0,40
-14,2,11,surface,1.0,0.0,0.63,0.0,40
-5,10,12,surface,0.996847,0.003153,0.767793,0.000946,40
16,2,2,surface,0.996908,0.003092,0.767836,0.000928,40
14,-4,-1,surface,0.996909,0.003091,0.627836,0.000927,40
3,9,-16,surface,0.996909,0.003091,0.767836,0.000927,40
15,13,-3,surface,0.996909,0.003091,0.767836,0.000927,40
-7,-17,5,surface,1.0,0.0,0.63,0.0,40
-12,-8,12,surface,1.0,0.0,0.77,0.0,40
-12,-15,-7,surface,1.0,0.0,0.77,0.0,40
6,-5,7,surface,0.99495,0.00505,0.766465,0.001515,40
-1,-10,9,surface,0.993273,0.006727,0.625291,0.002018,40
-6,-11,-11,surface,1.0,0.0,0.77,0.0,40
-14,5,-12,surface,0.998355,0.001645,0.628849,0.000493,40
-11,7,-14,surface,0.991757,0.008243,0.76423,0.002473,40
5,4,12,surface,0.986102,0.013898,0.620271,0.004169,40
13,2,-15,surface,1.0,0.0,0.63,0.0,40
-18,-8,5,surface,1.0,0.0,0.63,0.0,40
-12,-9,11,surface,1.0,0.0,0.63,0.0,40
16,3,-10,surface,0.996909,0.003091,0.767836,0.000927,40
1,-17,-6,surface,1.0,0.0,0.77,0.0,40
-10,14,2,surface,1.0,0.0,0.77,0.0,40
-18,-6,4,surface,1.0,0.0,0.63,0.0,40
-17,4,-4,surface,1.0,0.0,0.63,0.0,40
-11,4,14,surface,1.0,0.0,0.63,0.0,40
-4,2,-15,surface,1.0,0.0,0.63,0.0,40
10,11,-14,surface,1.0,0.0,0.63,0.0,40
-1,8,-16,surface,1.0,0.0,0.63,0.0,40
13,15,4,surface,1.0,0.0,0.63,0.0,40
-3,10,14,surface,0.999938,6.2e-05,0.629957,1.9e-05,40
15,1,-12,surface,1.0,0.0,0.77,0.0,40
-7,18,-4,surface,1.0,0.0,0.77,0.0,40
-17,4,-5,surface,0.999999,1e-06,0.769999,0.0,40
-15,-1,-9,surface,0.996377,0.003623,0.627464,0.001087,40
-9,13,-10,surface,1.0,0.0,0.63,0.0,40
12,-6,-6,surface,0.99998,2e-05,0.629986,6e-06,40
9,9,11,surface,0.999999,1e-06,0.629999,0.0,40
-16,-15,4,surface,1.0,0.0,0.77,0.0,40
11,-6,-9,surface,0.996905,0.003095,0.627834,0.000928,40
14,11,6,surface,1.0,0.0,0.63,0.0,40
9,0,9,surface,1.0,0.0,0.63,0.0,40
15,-2,-8,surface,1.0,0.0,0.63,0.0,40
-2,1,14,surface,0.999778,0.000222,0.769845,6.7e-05,40
3,-2,11,surface,0.986367,0.013633,0.760457,0.00409,40
3,-13,-10,surface,1.0,0.0,0.63,0.0,40
-3,-18,-8,surface,1.0,0.0,0.77,0.0,40
-10,7,11,surface,1.0,0.0,0.77,0.0,40
11,-7,-8,surface,0.999993,7e-06,0.769995,2e-06,40
-16,3,-10,surface,0.999996,4e-06,0.769997,1e-06,40
9,10,11,surface,0.999999,1e-06,0.769999,0.0,40
7,-10,6,surface,1.0,0.0,0.77,0.0,40
-13,-5,-10,surface,1.0,0.0,0.63,0.0,40
16,10,3,surface,1.0,0.0,0.63,0.0,40
-8,-18,1,surface,1.0,0.0,0.77,0.0,40
15,-2,-3,surface,1.0,0.0,0.77,0.0,40
7,4,-17,surface,1.0,0.0,0.63,0.0,40
8,-15,1,surface,1.0,0.0,0.63,0.0,40
-5,14,10,surface,1.0,0.0,0.77,0.0,40
-14,10,-6,surface,1.0,0.0,0.77,0.0,40
-16,-9,-6,surface,1.0,0.0,0.77,0.0,40
-10,15,-4,surface,1.0,0.0,0.63,0.0,40
-10,-9,12,surface,1.0,0.0,0.63,0.0,40
-4,15,-12,surface,1.0,0.0,0.77,0.0,40
-11,-1,-12,surface,0.999911,8.9e-05,0.769937,2.7e-05,40
-13,4,-13,surface,0.971985,0.028015,0.750389,0.008405,40
-5,4,-15,surface,1.0,0.0,0.63,0.0,40
-2,-2,-14,surface,1.0,0.0,0.63,0.0,40
-11,-12,10,surface,1.0,0.0,0.63,0.0,40
12,16,3,surface,0.996909,0.003091,0.767836,0.000927,40
8,-3,-15,surface,1.0,0.0,0.77,0.0,40
2,1,-16,surface,1.0,0.0,0.77,0.0,40
16,10,1,surface,0.999994,6e-06,0.769996,2e-06,40
7,-11,-9,surface,1.0,0.0,0.63,0.0,40
4,17,9,surface,1.0,0.0,0.77,0.0,40
-11,5,-14,surface,0.999966,3.4e-05,0.769976,1e-05,40
6,9,13,surface,1.0,0.0,0.77,0.0,40
13,0,6,surface,0.990109,0.009891,0.763076,0.002967,40
11,-9,-2,surface,0.993818,0.006182,0.765673,0.001855,40
-15,-1,11,surface,1.0,0.0,0.77,0.0,40
-7,-15,10,surface,1.0,0.0,0.77,0.0,40
-11,11,1,surface,0.999938,6.2e-05,0.629957,1.9e-05,40
-10,-19,-4,surface,1.0,0.0,0.63,0.0,40
13,6,-13,surface,1.0,0.0,0.63,0.0,40
14,7,7,surface,0.999779,0.000221,0.629845,6.6e-05,40
-10,10,-12,surface,0.999999,1e-06,0.629999,0.0,40
9,10,-15,surface,1.0,0.0,0.63,0.0,40
3,-5,12,surface,0.981856,0.018144,0.757299,0.005443,40
15,-1,4,surface,1.0,0.0,0.63,0.0,40
-15,6,-9,surface,1.0,0.0,0.77,0.0,40
12,4,9,surface,0.999999,1e-06,0.629999,0.0,40
-10,-17,-7,surface,1.0,0.0,0.77,0.0,40
-15,-15,-5,surface,1.0,0.0,0.77,0.0,40
-10,-7,13,surface,1.0,0.0,0.63,0.0,40
-10,13,-7,surface,1.0,0.0,0.63,0.0,40
6,-15,-3,surface,1.0,0.0,0.77,0.0,40
7,12,-15,surface,1.0,0.0,0.63,0.0,40
-4,-11,-11,surface,0.999876,0.000124,0.769913,3.7e-05,40
-7,9,12,surface,1.0,0.0,0.63,0.0,40
-6,8,13,surface,1.0,0.0,0.63,0.0,40
-16,6,-3,surface,0.999996,4e-06,0.769997,1e-06,40
-3,3,-15,surface,1.0,0.0,0.77,0.0,40
4,-10,-12,surface,1.0,0.0,0.77,0.0,40
-15,-16,4,surface,1.0,0.0,0.77,0.0,40
-8,16,6,surface,1.0,0.0,0.63,0.0,40
13,4,8,surface,1.0,0.0,0.77,0.0,40
8,-2,-16,surface,1.0,0.0,0.77,0.0,40
16,6,-6,surface,1.0,0.0,0.77,0.0,40
2,-15,6,surface,1.0,0.0,0.77,0.0,40
9,-8,-9,surface,1.0,0.0,0.77,0.0,40
-5,17,7,surface,1.0,0.0,0.63,0.0,40
11,17,-7,surface,1.0,0.0,0.77,0.0,40
-1,-17,-1,surface,1.0,0.0,0.77,0.0,40
-2,-12,-12,surface,1.0,0.0,0.77,0.0,40
-1,-17,1,surface,1.0,0.0,0.63,0.0,40
-3,-10,-12,surface,0.999996,4e-06,0.769997,1e-06,40
16,4,-8,surface,1.0,0.0,0.63,0.0,40
12,10,-13,surface,1.0,0.0,0.63,0.0,40
-15,-8,10,surface,1.0,0.0,0.77,0.0,40
-13,-1,14,surface,1.0,0.0,0.77,0.0,40
3,-16,1,surface,1.0,0.0,0.63,0.0,40
13,8,8,surface,0.999993,7e-06,0.769995,2e-06,40
-10,5,-15,surface,1.0,0.0,0.77,0.0,40
-10,-19,-2,surface,1.0,0.0,0.77,0.0,40
-8,13,-11,surface,1.0,0.0,0.77,0.0,40
12,5,-16,surface,1.0,0.0,0.63,0.0,40
-11,9,-12,surface,0.999996,4e-06,0.629997,1e-06,40
15,-3,-7,surface,1.0,0.0,0.63,0.0,40
-8,6,-15,surface,1.0,0.0,0.63,0.0,40
-8,-19,-5,surface,1.0,0.0,0.63,0.0,40
7,12,12,surface,1.0,0.0,0.63,0.0,40
-16,1,-10,surface,0.996056,0.003944,0.767239,0.001183,40
7,-15,3,surface,1.0,0.0,0.77,0.0,40
-10,1,-14,surface,0.999938,6.2e-05,0.629957,1.9e-05,40
-8,11,-14,surface,1.0,0.0,0.63,0.0,40
-9,-9,-10,surface,0.996909,0.003091,0.767836,0.000927,40
17,8,-1,surface,1.0,0.0,0.63,0.0,40
-13,8,-2,surface,0.996684,0.003316,0.627679,0.000995,40
5,18,8,surface,1.0,0.0,0.77,0.0,40
16,-1,-7,surface,1.0,0.0,0.77,0.0,40
15,-3,-5,surface,1.0,0.0,0.63,0.0,40
16,12,-4,surface,1.0,0.0,0.77,0.0,40
-18,-4,3,surface,0.999938,6.2e-05,0.629957,1.9e-05,40
0,7,13,surface,0.999557,0.000443,0.62969,0.000133,40
-6,7,13,surface,0.999999,1e-06,0.63,0.0,40
-18,-11,-4,surface,0.999996,4e-06,0.629997,1e-06,40
3,3,-17,surface,1.0,0.0,0.77,0.0,40
3,10,13,surface,1.0,0.0,0.77,0.0,40
0,-15,-9,surface,1.0,0.0,0.77,0.0,40
-15,-11,9,surface,1.0,0.0,0.77,0.0,40
4,15,12,surface,1.0,0.0,0.63,0.0,40
2,-3,-16,surface,1.0,0.0,0.63,0.0,40
9,4,11,surface,0.993476,0.006524,0.625433,0.001957,40
-10,15,-1,surface,0.996909,0.003091,0.767836,0.000927,40
11,-9,2,surface,0.999938,6.2e-05,0.629957,1.9e-05,40
-14,-4,-9,surface,0.999532,0.000468,0.629672,0.000141,40
12,8,9,surface,0.999996,4e-06,0.629997,1e-06,40
1,-17,-4,surface,1.0,0.0,0.63,0.0,40
-3,1,-15,surface,1.0,0.0,0.63,0.0,40
10,-3,-15,surface,1.0,0.0,0.77,0.0,40
-17,-9,7,surface,1.0,0.0,0.77,0.0,40
0,-17,-2,surface,1.0,0.0,0.63,0.0,40
11,11,-11,surface,1.0,0.0,0.63,0.0,40
6,11,13,surface,1.0,0.0,0.63,0.0,40
-12,-18,2,surface,1.0,0.0,0.77,0.0,40
-15,3,1,surface,0.996868,0.003132,0.767808,0.00094,40
-10,8,-14,surface,0.999996,4e-06,0.769997,1e-06,40
-10,-5,-11,surface,1.0,0.0,0.77,0.0,40
-10,0,15,surface,1.0,0.0,0.77,0.0,40
1,-12,8,surface,0.999707,0.000293,0.769795,8.8e-05,40
11,-3,-15,surface,1.0,0.0,0.77,0.0,40
-3,2,14,surface,1.0,0.0,0.63,0.0,40
-16,-1,6,surface,0.999169,0.000831,0.629418,0.000249,40
11,-12,-2,surface,1.0,0.0,0.77,0.0,40
16,2,-9,surface,1.0,0.0,0.77,0.0,40
-10,-16,-8,surface,1.0,0.0,0.63,0.0,40
15,8,5,surface,1.0,0.0,0.63,0.0,40
8,-7,-11,surface,1.0,0.0,0.77,0.0,40
-16,-16,5,surface,1.0,0.0,0.77,0.0,40
17,11,-2,surface,1.0,0.0,0.63,0.0,40
-15,-2,9,surface,1.0,0.0,0.77,0.0,40
-4,13,12,surface,1.0,0.0,0.63,0.0,40
9,-12,-5,surface,1.0,0.0,0.63,0.0,40
-11,-3,15,surface,1.0,0.0,0.63,0.0,40
3,-7,-13,surface,1.0,0.0,0.77,0.0,40
1,5,14,surface,0.999999,1e-06,0.769999,0.0,40
15,5,-12,surface,1.0,0.0,0.77,0.0,40
-12,7,-14,surface,0.999876,0.000124,0.769913,3.7e-05,40
-19,-7,5,surface,1.0,0.0,0.77,0.0,40
-9,9,-14,surface,1.0,0.0,0.77,0.0,40
-13,4,4,surface,1.0,0.0,0.77,0.0,40
3,12,13,surface,1.0,0.0,0.63,0.0,40
0,13,13,surface,1.0,0.0,0.63,0.0,40
-17,-9,6,surface,1.0,0.0,0.63,0.0,40
3,-17,-4,surface,1.0,0.0,0.63,0.0,40
14,-6,-5,surface,1.0,0.0,0.63,0.0,40
12,-1,-15,surface,1.0,0.0,0.77,0.0,40
13,15,2,surface,1.0,0.0,0.63,0.0,40
12,17,-6,surface,1.0,0.0,0.77,0.0,40
-6,-3,15,surface,1.0,0.0,0.63,0.0,40
14,-5,0,surface,1.0,0.0,0.77,0.0,40
-12,10,1,surface,1.0,0.0,0.77,0.0,40
-5,-18,2,surface,1.0,0.0,0.77,0.0,40
-13,-7,12,surface,1.0,0.0,0.77,0.0,40
15,11,-8,surface,1.0,0.0,0.63,0.0,40
-8,-18,-7,surface,1.0,0.0,0.77,0.0,40
-10,-2,16,surface,1.0,0.0,0.63,0.0,40
5,-11,7,surface,0.996909,0.003091,0.627836,0.000927,40
14,10,-11,surface,1.0,0.0,0.77,0.0,40
11,-9,-6,surface,1.0,0.0,0.77,0.0,40
-10,-3,15,surface,1.0,0.0,0.63,0.0,40
-7,15,-9,surface,1.0,0.0,0.63,0.0,40
15,11,3,surface,0.999996,4e-06,0.769997,1e-06,40
-9,-19,0,surface,1.0,0.0,0.77,0.0,40
12,-8,-5,surface,0.996909,0.003091,0.767836,0.000927,40
6,16,10,surface,1.0,0.0,0.77,0.0,40
1,-15,-10,surface,1.0,0.0,0.77,0.0,40
-9,2,-14,surface,1.0,0.0,0.63,0.0,40
2,5,-17,surface,1.0,0.0,0.77,0.0,40
-18,-6,-2,surface,1.0,0.0,0.63,0.0,40
7,-15,2,surface,1.0,0.0,0.77,0.0,40
14,-4,-7,surface,1.0,0.0,0.77,0.0,40
3,-3,-16,surface,1.0,0.0,0.77,0.0,40
9,2,10,surface,0.996863,0.003137,0.767804,0.000941,40
-7,-14,-10,surface,1.0,0.0,0.63,0.0,40
-3,18,8,surface,1.0,0.0,0.77,0.0,40
-11,13,-2,surface,1.0,0.0,0.63,0.0,40
-2,-14,-11,surface,1.0,0.0,0.63,0.0,40
-6,-9,-12,surface,1.0,0.0,0.77,0.0,40
-6,16,-11,surface,1.0,0.0,0.63,0.0,40
-12,7,-12,surface,0.999239,0.000761,0.629467,0.000228,40
-1,-12,-12,surface,1.0,0.0,0.63,0.0,40
13,-6,0,surface,0.996909,0.003091,0.627836,0.000927,40
-9,12,-13,surface,1.0,0.0,0.63,0.0,40
-4,1,15,surface,1.0,0.0,0.63,0.0,40
-6,-10,-11,surface,0.996909,0.003091,0.627836,0.000927,40
11,17,4,surface,1.0,0.0,0.63,0.0,40
13,13,-8,surface,1.0,0.0,0.77,0.0,40
17,12,-3,surface,1.0,0.0,0.63,0.0,40
-8,-7,14,surface,0.999996,4e-06,0.629997,1e-06,40
13,0,-14,surface,1.0,0.0,0.63,0.0,40
-14,7,-1,surface,1.0,0.0,0.63,0.0,40
-2,13,-15,surface,1.0,0.0,0.77,0.0,40
7,2,11,surface,0.999169,0.000831,0.769418,0.000249,40
-16,-17,4,surface,1.0,0.0,0.63,0.0,40
-14,3,-13,surface,0.97364,0.02636,0.751548,0.007908,40
-15,5,-10,surface,1.0,0.0,0.63,0.0,40
-14,3,5,surface,1.0,0.0,0.63,0.0,40
-17,-3,-4,surface,0.996294,0.003706,0.767406,0.001112,40
-4,16,-11,surface,1.0,0.0,0.77,0.0,40
-14,9,-3,surface,0.999993,7e-06,0.629995,2e-06,40
-7,14,-11,surface,1.0,0.0,0.63,0.0,40
-13,-17,-4,surface,1.0,0.0,0.77,0.0,40
-17,4,-6,surface,0.999991,9e-06,0.629994,3e-06,40
-18,-4,1,surface,1.0,0.0,0.63,0.0,40
-9,13,7,surface,1.0,0.0,0.77,0.0,40
-6,11,11,surface,1.0,0.0,0.63,0.0,40
6,-11,-10,surface,1.0,0.0,0.63,0.0,40
11,-11,-3,surface,1.0,0.0,0.77,0.0,40
-12,-16,7,surface,1.0,0.0,0.77,0.0,40
-13,-14,-7,surface,1.0,0.0,0.63,0.0,40
5,-15,4,surface,0.991757,0.008243,0.62423,0.002473,40
-1,17,9,surface,1.0,0.0,0.77,0.0,40
13,-6,-5,surface,1.0,0.0,0.77,0.0,40
-16,0,-3,surface,0.980544,0.019456,0.616381,0.005837,40
15,0,4,surface,0.999922,7.8e-05,0.629945,2.4e-05,40
-13,-17,5,surface,1.0,0.0,0.77,0.0,40
9,6,12,surface,0.999999,1e-06,0.629999,0.0,40
12,5,10,surface,1.0,0.0,0.63,0.0,40
13,-2,5,surface,0.999876,0.000124,0.629913,3.7e-05,40
17,6,-2,surface,1.0,0.0,0.77,0.0,40
-13,-2,14,surface,1.0,0.0,0.63,0.0,40
-11,-5,14,surface,1.0,0.0,0.77,0.0,40
5,-10,-11,surface,1.0,0.0,0.77,0.0,40
5,-6,-13,surface,1.0,0.0,0.63,0.0,40
-10,-1,-13,surface,0.999996,4e-06,0.629997,1e-06,40
13,17,0,surface,1.0,0.0,0.63,0.0,40
0,-16,6,surface,1.0,0.0,0.77,0.0,40
-2,7,-16,surface,1.0,0.0,0.77,0.0,40
-7,-19,-4,surface,1.0,0.0,0.63,0.0,40
14,15,-3,surface,1.0,0.0,0.77,0.0,40
-1,5,-16,surface,1.0,0.0,0.63,0.0,40
-13,-16,6,surface,1.0,0.0,0.77,0.0,40
-9,12,-12,surface,1.0,0.0,0.77,0.0,40
9,-10,-7,surface,1.0,0.0,0.77,0.0,40
-15,3,2,surface,0.999998,2e-06,0.769999,1e-06,40
-8,-19,0,surface,1.0,0.0,0.77,0.0,40
13,12,-10,surface,1.0,0.0,0.77,0.0,40
-4,4,14,surface,1.0,0.0,0.63,0.0,40
9,-13,-5,surface,1.0,0.0,0.77,0.0,40
2,9,-17,surface,1.0,0.0,0.77,0.0,40
1,-17,-1,surface,1.0,0.0,0.77,0.0,40
-8,1,-14,surface,1.0,0.0,0.77,0.0,40
16,-1,-6,surface,0.996909,0.003091,0.767836,0.000927,40
17,2,-3,surface,1.0,0.0,0.77,0.0,40
10,14,-10,surface,1.0,0.0,0.77,0.0,40
-1,-16,4,surface,1.0,0.0,0.77,0.0,40
2,-6,-15,surface,1.0,0.0,0.77,0.0,40
2,1,12,surface,0.99592,0.00408,0.627144,0.001224,40
15,5,7,surface,1.0,0.0,0.63,0.0,40
0,0,13,surface,0.999996,4e-06,0.629997,1e-06,40
6,-9,7,surface,0.996881,0.003119,0.767817,0.000936,40
2,15,11,surface,0.999996,4e-06,0.769997,1e-06,40
-12,-1,-11,surface,0.964382,0.035618,0.745068,0.010685,40
-9,13,-12,surface,1.0,0.0,0.77,0.0,40
-2,10,-16,surface,1.0,0.0,0.63,0.0,40
-13,8,0,surface,1.0,0.0,0.77,0.0,40
12,-8,0,surface,1.0,0.0,0.77,0.0,40
15,10,-9,surface,1.0,0.0,0.77,0.0,40
-11,-14,9,surface,1.0,0.0,0.63,0.0,40
13,-1,-14,surface,1.0,0.0,0.63,0.0,40
14,-6,0,surface,1.0,0.0,0.77,0.0,40
-5,-18,-5,surface,1.0,0.0,0.63,0.0,40
-12,13,-4,surface,1.0,0.0,0.77,0.0,40
-15,7,-6,surface,0.999557,0.000443,0.62969,0.000133,40
-8,3,-16,surface,1.0,0.0,0.63,0.0,40
