alpha,beta,n_ok,n_capped,n_timeout,timeout_frac,timeout_warning,mean_fitness,std_fitness,mean_mei,std_mei,mean_ncf,std_ncf,mean_dissipation,std_dissipation,pareto_front
0.2,0.3,200,0,0,0.0,False,0.02926897,0.08882926,0.17967125,0.39761926,0.33854312,0.44250121,1.96389606,1.4133341,True
0.2,0.4,200,0,0,0.0,False,0.15378082,0.1962384,0.21124649,0.34562832,0.26821899,0.32314028,4.67926543,4.08387177,True
0.2,0.5,200,0,0,0.0,False,0.29942162,0.22138168,0.18756903,0.26631394,0.20202859,0.22322956,16.35926305,12.84383059,True
0.2,0.6,200,17,0,0.0,False,0.75227415,0.44317507,0.09025105,0.10910754,0.04239859,0.12437779,190.08416227,183.99254133,True
0.2,0.7,200,146,0,0.0,False,1.9982374,0.88770031,0.02064499,0.07211916,0.00931535,0.07085873,472.53727918,201.66533996,True
0.2,0.8,200,187,0,0.0,False,3.14862881,1.03954159,0.00646445,0.00236708,0.00265209,0.00101023,541.18827521,143.57422082,True
0.3,0.3,200,0,0,0.0,False,0.01338506,0.05157177,0.12863727,0.41487376,0.14762518,0.33618681,1.44050941,1.08167675,True
0.3,0.4,200,0,0,0.0,False,0.08144492,0.14202783,0.31494919,0.63988709,0.223407,0.35239474,2.78144662,2.40292917,True
0.3,0.5,200,0,0,0.0,False,0.22515262,0.2071629,0.20488808,0.30851014,0.11343055,0.17676233,8.78128947,8.09159684,True
0.3,0.6,200,0,0,0.0,False,0.36746625,0.25616772,0.13423312,0.11672963,0.04592751,0.0804831,58.04913515,76.07624417,True
0.3,0.7,200,100,0,0.0,False,1.10476537,0.66832615,0.02931189,0.03199525,0.00314937,0.00660391,386.08272717,235.54703261,True
0.3,0.8,198,175,2,0.01,False,2.29404985,1.00265635,0.00878238,0.00400691,0.00153663,0.00097886,514.97210076,182.86056077,True
0.4,0.3,200,0,0,0.0,False,0.00540627,0.03440447,0.04394697,0.21539767,0.05899621,0.23040155,1.15839532,0.63377792,True
0.4,0.4,200,0,0,0.0,False,0.02577029,0.07689109,0.18196999,0.58642059,0.09540882,0.26685232,1.5659663,1.36980938,True
0.4,0.5,200,0,0,0.0,False,0.15846872,0.1928741,0.24838091,0.46582835,0.05625003,0.13924497,4.59284007,4.5636759,True
0.4,0.6,200,0,0,0.0,False,0.26152066,0.2233413,0.16080048,0.13175542,0.03961245,0.04029458,18.20227746,16.87832307,True
0.4,0.7,200,49,0,0.0,False,0.59517932,0.39575534,0.06877801,0.06831814,0.00425944,0.00926372,271.27979333,234.54355079,True
0.4,0.8,198,157,2,0.01,False,1.46943696,0.79525649,0.01291754,0.00770212,0.00083722,0.00063626,474.05434916,222.32923273,True
0.5,0.3,200,0,0,0.0,False,0.00207823,0.01658358,0.03025,0.24059691,0.021,0.14091945,1.05840285,0.34310766,True
0.5,0.4,200,0,0,0.0,False,0.01852117,0.06280102,0.17816685,0.64404073,0.051,0.20957115,1.42479605,1.47301124,True
0.5,0.5,200,0,0,0.0,False,0.08319816,0.1337424,0.29401311,0.7511658,0.03959668,0.14974564,2.83732382,3.02681014,True
0.5,0.6,200,0,0,0.0,False,0.19994318,0.20073233,0.20049001,0.20451141,0.02016469,0.02658926,10.23164911,10.12202775,True
0.5,0.7,200,12,0,0.0,False,0.32468462,0.24196472,0.12606407,0.10788402,0.00565953,0.00939641,145.64779225,175.82569655,True
0.5,0.8,200,137,0,0.0,False,0.92922996,0.56330163,0.02264049,0.02263133,0.00053609,0.00061446,431.76775623,245.36322132,True
0.6,0.3,200,0,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True
0.6,0.4,200,0,0,0.0,False,0.00458564,0.02928922,0.08127778,0.5145583,0.01,0.09974843,1.14599333,0.91625859,True
0.6,0.5,200,0,0,0.0,False,0.05212383,0.11254108,0.20619518,0.48746379,0.01291156,0.100233,1.80507564,1.66104217,True
0.6,0.6,200,0,0,0.0,False,0.15074635,0.1829573,0.21676854,0.34451115,0.00667888,0.01327717,6.56512742,7.2651945,True
0.6,0.7,200,0,0,0.0,False,0.23338155,0.19705583,0.16934668,0.14599882,0.00509314,0.00686929,47.60111172,67.07866953,True
0.6,0.8,199,102,1,0.005,False,0.56879494,0.37942882,0.03831335,0.04047006,0.00037308,0.00080843,372.82618482,259.49400754,True
0.7,0.3,200,0,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,True
0.7,0.4,200,0,0,0.0,False,0.00201651,0.01666365,0.04725,0.33034159,0.01,0.09974843,1.08988054,0.7155507,True
0.7,0.5,200,0,0,0.0,False,0.0392526,0.10380238,0.20258337,0.68754184,0.00633459,0.07211621,1.63146033,1.56045833,True
0.7,0.6,200,0,0,0.0,False,0.12161187,0.17079159,0.24991638,0.692046,0.00177453,0.00622334,4.29281515,4.86420111,True
0.7,0.7,200,0,0,0.0,False,0.19799285,0.1958699,0.19123184,0.1797334,0.00238732,0.00374316,20.67020559,31.21338119,True
0.7,0.8,200,59,0,0.0,False,0.35384791,0.25749268,0.08056889,0.08735578,0.00032296,0.00086439,287.3540475,251.13800034,True
