alpha,beta,run_id,seed,status,final_alive,final_necrotic,final_total,total_metastatic,total_oxygen_consumed,fitness,mei,ncf,dissipation
0.7,0.3,195,195,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.7,0.4,60,60,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.2,0.8,31,31,capped,58899,196,59095,454,3714.7508,2.86199234,0.00768255,0.00331669,590.2960256
0.2,0.7,17,17,capped,55097,130,55227,465,3139.7469,3.10588141,0.00841979,0.00235392,564.11937717
0.5,0.4,171,171,ok,0,0,0,3,10.9186,0.0,0.0,0.0,1.0
0.4,0.7,49,49,ok,0,0,0,0,1.3486,0.0,0.0,0.0,1.0
0.3,0.4,84,84,ok,0,7,7,4,62.75,0.0,0.57142857,1.0,4.42585921
0.2,0.8,57,57,capped,57260,136,57396,336,3662.7038,3.58561005,0.00585407,0.0023695,577.33094006
0.5,0.6,2,2,ok,114,5,119,56,280.0166,0.26097358,0.47058824,0.04201681,14.26717689
0.7,0.3,134,134,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.3,0.4,98,98,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.4,0.4,8,8,ok,15,3,18,12,96.389,0.13894595,0.66666667,0.16666667,5.13946765
0.3,0.5,155,155,ok,120,16,136,48,300.9229,0.26944139,0.35294118,0.11764706,15.38923838
0.6,0.7,134,134,ok,975,10,985,145,772.1099,0.51541779,0.14720812,0.01015228,44.14967159
0.2,0.8,172,172,capped,61570,121,61691,383,3857.1124,3.30491065,0.00620836,0.00196139,605.75132778
0.2,0.7,25,25,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.6,0.5,61,61,ok,0,0,0,0,2.6415,0.0,0.0,0.0,1.0
0.7,0.5,140,140,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.4,0.3,137,137,ok,0,1,1,0,11.3839,0.0,0.0,1.0,2.0
0.5,0.6,64,64,ok,0,0,0,0,1.2242,0.0,0.0,0.0,1.0
0.7,0.3,65,65,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.2,0.5,21,21,ok,33,6,39,10,66.7616,0.44936013,0.25641026,0.15384615,6.41598557
0.3,0.8,116,116,capped,56278,59,56337,518,3673.3727,2.4790494,0.00919467,0.00104727,571.34654301
0.3,0.4,123,123,ok,38,20,58,13,155.011,0.21694145,0.22413793,0.34482759,9.49270287
0.3,0.8,15,15,timeout,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.5,0.3,187,187,ok,0,0,0,0,1.3428,0.0,0.0,0.0,1.0
0.4,0.8,38,38,capped,57792,77,57869,1179,3276.4654,1.37908676,0.0203736,0.00133059,588.26762066
0.4,0.8,177,177,capped,55897,32,55929,934,3524.1432,1.53396132,0.01669974,0.00057215,572.54121671
0.7,0.3,59,59,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.6,0.4,66,66,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.3,0.4,196,196,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.3,0.7,64,64,ok,863,53,916,99,594.901,0.72897563,0.1080786,0.05786026,42.54711478
0.5,0.7,105,105,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.4,0.4,132,132,ok,0,0,0,0,2.5418,0.0,0.0,0.0,1.0
0.6,0.5,137,137,ok,0,0,0,0,10.4389,0.0,0.0,0.0,1.0
0.6,0.4,162,162,ok,0,0,0,0,1.6599,0.0,0.0,0.0,1.0
0.6,0.6,10,10,ok,222,4,226,112,515.4636,0.20315108,0.49557522,0.01769912,21.73239273
0.4,0.5,97,97,ok,0,0,0,0,2.2333,0.0,0.0,0.0,1.0
0.5,0.6,46,46,ok,0,0,0,1,4.9555,0.0,0.0,0.0,1.0
0.6,0.8,47,47,ok,1597,4,1601,183,672.4311,0.83921008,0.11430356,0.00249844,58.83318653
0.5,0.6,159,159,ok,262,25,287,132,715.1289,0.15791703,0.45993031,0.08710801,26.57461706
0.7,0.8,115,115,capped,55038,0,55038,1781,3632.1053,0.8055925,0.03235946,0.0,574.8399794
0.6,0.5,154,154,ok,0,0,0,0,0.7633,0.0,0.0,0.0,1.0
0.4,0.4,172,172,ok,0,0,0,0,1.4892,0.0,0.0,0.0,1.0
0.2,0.4,145,145,ok,21,7,28,12,74.5403,0.2515418,0.42857143,0.25,6.33662862
0.6,0.3,97,97,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.3,0.5,128,128,ok,257,51,308,75,464.8887,0.31589745,0.24350649,0.16558442,25.43898979
0.2,0.7,190,190,capped,60279,165,60444,517,3318.0393,2.94441722,0.00855337,0.0027298,599.41259703
0.4,0.8,151,151,capped,56907,41,56948,982,3282.5715,1.6022277,0.0172438,0.00071996,579.87028848
0.2,0.5,182,182,ok,339,85,424,60,526.8623,0.40214493,0.14150943,0.2004717,29.76342659
0.5,0.6,29,29,ok,392,21,413,129,655.643,0.26108573,0.31234867,0.05084746,29.43268445
0.5,0.3,114,114,ok,0,0,0,0,1.4924,0.0,0.0,0.0,1.0
0.2,0.3,37,37,ok,8,2,10,2,17.9754,0.43632543,0.2,0.2,2.57219221
0.2,0.8,90,90,capped,57002,151,57153,338,3086.0988,4.21702482,0.00591395,0.00264203,575.89108091
0.4,0.3,196,196,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.2,0.7,182,182,capped,56985,149,57134,452,3395.2354,3.04054607,0.00791123,0.0026079,576.8870022
0.6,0.6,34,34,ok,212,5,217,89,470.0204,0.23864775,0.41013825,0.02304147,20.04790595
0.7,0.4,56,56,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.2,0.8,179,179,capped,58329,156,58485,376,3673.992,3.3353343,0.006429,0.00266735,585.11864682
0.6,0.7,28,28,ok,0,0,0,0,0.4568,0.0,0.0,0.0,1.0
0.4,0.3,149,149,ok,2,0,2,0,31.5531,0.0633852,0.0,0.0,1.0
0.6,0.8,133,133,capped,56999,20,57019,2023,3750.557,0.71584909,0.0354794,0.00035076,590.53788185
0.2,0.6,51,51,ok,3528,110,3638,632,893.6901,0.53930017,0.17372183,0.03023639,110.07401083
0.2,0.8,5,5,capped,60921,125,61046,405,3788.3751,3.18436376,0.00663434,0.00204764,601.82817016
0.2,0.3,74,74,ok,0,0,0,0,0.8886,0.0,0.0,0.0,1.0
0.6,0.5,76,76,ok,0,0,0,0,0.6039,0.0,0.0,0.0,1.0
0.2,0.3,153,153,ok,0,1,1,0,6.242,0.0,0.0,1.0,2.0
0.7,0.7,145,145,ok,358,0,358,138,519.0657,0.28979025,0.38547486,0.0,26.88200111
0.6,0.8,192,192,capped,60847,14,60861,2206,4183.2575,0.63076164,0.03624653,0.00023003,617.15837789
0.4,0.4,173,173,ok,0,0,0,0,7.0726,0.0,0.0,0.0,1.0
0.5,0.8,178,178,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.6,0.5,98,98,ok,0,0,0,0,0.3069,0.0,0.0,0.0,1.0
0.6,0.4,142,142,ok,0,0,0,0,4.8405,0.0,0.0,0.0,1.0
0.2,0.7,49,49,ok,10902,71,10973,525,1014.1176,1.72003727,0.04784471,0.00647043,200.41141628
0.7,0.5,106,106,ok,0,0,0,0,0.1545,0.0,0.0,0.0,1.0
0.3,0.4,16,16,ok,0,2,2,2,23.9096,0.0,1.0,1.0,4.0
